Label,United States!!Estimate,United States!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,"Newark city, New Jersey!!Estimate","Newark city, New Jersey!!Margin of Error"
Total:,"317,635,720","±28,922","8,854,363","±4,962","278,833",±970
    Same house 1 year ago,"270,873,397","±189,370","7,987,859","±26,012","243,112","±4,742"
    Moved within same county,"26,861,062","±153,442","461,956","±19,415","23,991","±4,136"
    Moved from different county within same state,"10,285,434","±72,460","194,614","±10,765","4,035","±1,365"
    Moved from different state,"7,530,129","±67,868","144,074","±8,425","5,284","±2,270"
    Moved from abroad,"2,085,698","±39,419","65,860","±6,182","2,411","±1,049"
