Label,United States!!Estimate,United States!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,"Newark city, New Jersey!!Estimate","Newark city, New Jersey!!Margin of Error"
Total:,"323,531,965","±28,863","8,815,804","±5,090","278,557","±1,470"
    Same house 1 year ago,"278,079,469","±191,887","7,870,909","±27,774","242,335","±5,510"
    Moved within same county,"25,406,210","±142,448","485,970","±20,086","21,999","±4,540"
    Moved from different county within same state,"10,515,375","±79,345","236,650","±12,888","5,083","±1,544"
    Moved from different state,"7,571,282","±77,765","159,846","±11,726","6,681","±2,323"
    Moved from abroad,"1,959,629","±39,920","62,429","±6,193","2,459","±1,195"
