Label,United States!!Estimate,United States!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,"Newark city, New Jersey!!Estimate","Newark city, New Jersey!!Margin of Error"
Total:,"319,361,956","±30,974","8,852,286","±5,371","278,872","±1,002"
    Same house 1 year ago,"272,660,098","±208,903","7,934,689","±25,558","249,938","±3,796"
    Moved within same county,"26,584,001","±166,563","489,610","±18,514","20,119","±3,286"
    Moved from different county within same state,"10,368,657","±81,855","214,027","±13,667","3,387","±1,237"
    Moved from different state,"7,552,536","±73,712","144,359","±9,330","2,547","±1,103"
    Moved from abroad,"2,196,664","±37,386","69,601","±6,999","2,881","±1,227"
